"","id1","id2","cust.id","forename","surname","gender","email","m.nmbr","h.nmbr","addr.1","addr.2","cityname","postcode","county","nis","b.year","b.month","b.day","is_match"
"4134",1051,2274,0,0,1,0,1,1,1,1,1,NA,1,NA,1,0,0,0,NA
"5340",1567,2173,0,0,1,0,1,1,1,1,1,NA,1,NA,1,0,1,0,NA
"3055",702,2220,0,0,1,0,1,1,1,1,1,NA,1,1,1,0,0,0,NA
"5707",1848,2244,0,0,1,0,1,1,1,1,1,NA,1,1,1,1,0,0,NA
"5765",1920,2157,0,0,1,0,1,1,1,1,1,1,NA,NA,1,0,0,0,NA
"1906",407,2236,0,0,1,0,1,1,1,1,1,1,NA,1,1,0,0,0,NA
"1215",250,2123,0,0,1,0,1,1,1,1,1,1,NA,1,1,0,1,0,NA
"3706",902,2195,0,0,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA
"1662",347,2169,0,0,1,0,1,1,1,1,1,1,1,NA,1,0,1,0,NA
"2404",528,2269,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,NA
"2169",479,2190,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,NA
"3807",935,2148,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,NA
"4670",1247,2258,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,NA
"3556",850,1669,0,0,1,1,0,0,NA,0,0,0,NA,0,0,0,0,0,NA
"4992",1387,2097,0,0,1,1,0,0,0,NA,0,0,0,NA,0,0,0,1,NA
"3560",852,1640,0,0,1,1,NA,0,NA,0,0,0,NA,0,0,0,1,0,NA
"1497",313,2199,0,0,1,1,NA,0,NA,0,0,0,0,0,0,0,1,1,NA
"3541",844,1405,0,0,1,1,0,0,NA,NA,0,0,0,NA,0,1,0,0,NA
"96",14,1713,0,0,1,1,0,0,NA,0,0,NA,NA,0,0,1,0,1,NA
"5579",1730,2235,0,0,1,1,NA,NA,0,0,0,0,NA,NA,0,1,1,0,NA
"5564",1717,2062,0,0,1,1,0,NA,0,0,0,NA,0,1,0,0,0,0,NA
"3813",937,1422,0,0,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,1,NA
"2125",470,1040,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,NA
"3353",786,1042,0,0,1,1,NA,0,0,1,0,0,0,0,0,0,0,0,NA
"5862",2027,2034,0,0,1,1,NA,NA,NA,1,1,NA,NA,1,0,0,0,0,NA
"2684",606,2072,0,0,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,NA
"4459",1168,2066,0,0,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,NA
"4874",1336,2070,0,0,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,NA
"5850",2004,2252,0,0,1,1,NA,1,1,NA,0,NA,NA,0,1,0,0,0,NA
"4124",1049,2080,0,0,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA
"5401",1601,2073,0,0,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA
"3831",943,2067,0,0,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,NA
"5876",2044,2198,0,0,1,1,1,NA,1,0,0,NA,NA,NA,1,0,0,0,NA
"5854",2014,2119,0,0,1,1,1,1,NA,0,0,NA,NA,0,1,0,0,0,NA
"5848",2003,2209,0,0,1,1,1,1,NA,0,0,NA,NA,0,1,0,1,0,NA
"5241",1510,2075,0,0,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA
"2423",532,2068,0,0,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA
"3263",758,2074,0,0,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA
"5880",2053,2150,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,0,0,NA
"5861",2026,2167,0,0,1,1,1,1,1,NA,0,NA,NA,1,1,0,0,1,NA
"3620",877,2061,0,0,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,NA
"3996",1000,2064,0,0,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA
"5844",1996,2078,0,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA
"5008",1397,2063,0,0,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA
"582",109,2065,0,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA
"5575",1728,2079,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
"1352",280,2282,0,1,1,1,1,NA,NA,NA,1,1,NA,1,1,1,1,1,NA
"3834",944,2283,0,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA
"4245",1087,2281,0,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA
